Year,site,date,treatment,ldist,hdist,temp,windm,lbee_vis,hbee_vis,flDens,Bay
2015,Woudwijk 4,7/13/2015,Double tent and bees,8,550,24,1.1,31,2,883.2,Male
2015,Woudwijk 4,7/13/2015,Double tent and bees,40,85,25.4,0.7,12,7,824,Female
2015,Woudwijk 4,7/13/2015,Double tent and bees,40,68,26.2,0.3,7,22,NA,Female
2015,Woudwijk 4,7/13/2015,Double tent and bees,40,85,25.4,0.7,0,13,2041.6,Male
2015,Woudwijk 4,7/13/2015,Double tent and bees,40,68,26.2,0.3,2,0,NA,Male
2015,Woudwijk 4,7/13/2015,Double tent and bees,57,600,21.2,1.8,0,0,NA,Female
2015,Woudwijk 4,7/13/2015,Double tent and bees,57,600,21.2,1.8,4,0,NA,Male
2015,Woudwijk 4,7/13/2015,Double tent and bees,125,3,31.1,0.7,95,0,584,Female
2015,Woudwijk 4,7/13/2015,Double tent and bees,125,3,31.1,0.7,61,2,492.8,Male
2015,Ypma,6/30/2015,Standard,4,825,23.8,1.3,73,0,344,Female
2015,Ypma,6/30/2015,Standard,4,825,23.8,1.3,159,0,NA,Male
2015,Ypma,6/30/2015,Standard,5,110,25.5,0.9,65,0,NA,Female
2015,Ypma,6/30/2015,Standard,5,530,26.5,0.6,97,2,344,Female
2015,Ypma,6/30/2015,Standard,5,110,25.5,0.9,91,9,NA,Male
2015,Ypma,6/30/2015,Standard,5,530,26.5,0.6,48,4,348,Male
2015,Ypma,6/30/2015,Standard,70,850,24.9,2.5,4,38,344,Female
2015,Ypma,6/30/2015,Standard,70,850,24.9,2.5,2,12,348,Male
2015,Ypma,6/30/2015,Standard,80,540,26.5,1.6,128,0,344,Female
2015,Ypma,6/30/2015,Standard,80,540,26.5,1.6,61,7,348,Male
2015,Ypma,6/30/2015,Standard,100,15,26.2,0.6,21,33,344,Female
2015,Ypma,6/30/2015,Standard,100,15,26.2,0.6,5,9,348,Male
2016,Bateman 1,30-Jun-16,Standard,5,90,24.2,3.5,22,7,486,Female
2016,Bateman 1,30-Jun-16,Standard,5,90,24.2,3.5,44,4,630,Male
2016,Bateman 1,30-Jun-16,Standard,49,120,27.9,1.1,2,16,270.6,Female
2016,Bateman 1,30-Jun-16,Standard,49,120,27.9,1.1,2,4,504,Male
2016,Bateman 2,5-Jul-16,Double tent,3,125,18,0.5,31,0,396,Female
2016,Bateman 2,5-Jul-16,Double tent,3,125,18,0.5,60,4,290.4,Male
2016,Bateman 2,5-Jul-16,Double tent,40,160,19.2,0,10,58,364.8,Female
2016,Bateman 2,5-Jul-16,Double tent,40,160,19.2,0,55,0,696,Male
2016,Bateman 3,5-Jul-16,Double tent and bees,2,140,21.7,0.8,63,0,480,Female
2016,Bateman 3,5-Jul-16,Double tent and bees,2,140,21.7,0.8,54,0,441.6,Male
2016,Bateman 3,5-Jul-16,Double tent and bees,49,120,27.8,0,1,16,384,Female
2016,Bateman 3,5-Jul-16,Double tent and bees,49,120,27.8,0,11,0,691.2,Male
2016,Bateman 4,19-Jul-16,Standard,3,130,24.2,0,36,0,352,Female
2016,Bateman 4,19-Jul-16,Standard,3,130,24.2,0,34,26,881.6,Male
2016,Bateman 4,19-Jul-16,Standard,41,130,22.6,0.9,1,14,408,Female
2016,Bateman 4,19-Jul-16,Standard,41,130,22.6,0.9,6,0,344,Male
2016,Bateman 5,19-Jul-16,Double tent,14,120,25.6,1,23,0,376,Female
2016,Bateman 5,19-Jul-16,Double tent,14,120,25.6,1,18,10,556.8,Male
2016,Bateman 5,19-Jul-16,Double tent,34,115,25.8,0.6,12,0,324.8,Female
2016,Bateman 5,19-Jul-16,Double tent,34,115,25.8,0.6,1,23,441.6,Male
2016,Bateman 6,21-Jul-16,Double tent and bees,5,240,22.7,1.5,24,0,249.6,Female
2016,Bateman 6,21-Jul-16,Double tent and bees,5,240,22.7,1.5,57,2,708,Male
2016,Bateman 6,21-Jul-16,Double tent and bees,21,220,22.3,0.9,32,8,309.6,Female
2016,Bateman 6,21-Jul-16,Double tent and bees,21,220,22.3,0.9,37,0,704,Male
2016,MacKenzie 1,20-Jul-16,Double tent,2,240,21.5,1,16,0,211.2,Female
2016,MacKenzie 1,20-Jul-16,Double tent,2,240,21.5,1,14,0,364.8,Male
2016,MacKenzie 1,20-Jul-16,Double tent,3,114,22.5,1,14,0,320,Female
2016,MacKenzie 1,20-Jul-16,Double tent,3,114,22.5,1,16,0,294.4,Male
2016,MacKenzie 2,7-Jul-16,Double tent and bees,4,275,26.7,0,39,0,320,Female
2016,MacKenzie 2,7-Jul-16,Double tent and bees,4,275,26.7,0,9,0,115.2,Male
2016,MacKenzie 2,7-Jul-16,Double tent and bees,71,196,24,0,4,27,704,Female
2016,MacKenzie 2,7-Jul-16,Double tent and bees,71,196,24,0,2,0,NA,Male
2016,MacKenzie 3,7-Jul-16,Standard,5,240,26.8,0.5,90,0,396,Female
2016,MacKenzie 3,7-Jul-16,Standard,5,240,26.8,0.5,23,0,176,Male
2016,MacKenzie 3,7-Jul-16,Standard,190,250,20.7,0,3,0,336,Female
2016,MacKenzie 3,7-Jul-16,Standard,190,250,20.7,0,0,1,208,Male
2016,Perlich 1,8-Jul-16,Double tent,5,175,24.5,0.8,89,0,NA,Female
2016,Perlich 1,8-Jul-16,Double tent,5,175,24.5,0.8,5,0,432,Male
2016,Perlich 1,8-Jul-16,Double tent,50,216,23.6,1.6,0,1,860,Female
2016,Perlich 1,18-Jul-16,Double tent,51,NA,29.8,0.7,66,4,870.4,Female
2016,Perlich 1,18-Jul-16,Double tent,51,NA,29.8,0.7,52,3,593.6,Male
2016,Perlich 2,18-Jul-16,Double tent and bees,3,124,26.6,0.6,40,0,684,Female
2016,Perlich 2,18-Jul-16,Double tent and bees,3,124,26.6,0.6,37,20,707.2,Male
2016,Perlich 2,18-Jul-16,Double tent and bees,54,130,27.9,0.6,6,58,526.4,Female
2016,Perlich 2,18-Jul-16,Double tent and bees,54,130,27.9,0.6,0,8,230.4,Male
2016,Perlich 3,18-Jul-16,Standard,2,170,24.1,0.5,38,0,768,Female
2016,Perlich 3,18-Jul-16,Standard,2,170,24.1,0.5,30,10,470.4,Male
2016,Perlich 3,18-Jul-16,Standard,51,110,21.9,0,9,22,440,Female
2016,Perlich 3,18-Jul-16,Standard,51,110,21.9,0,4,39,660,Male
2016,Unruh 2,4-Jul-16,Double tent,3,150,24.8,0,89,0,820.8,Female
2016,Unruh 2,4-Jul-16,Double tent,3,150,24.8,0,37,0,355.2,Male
2016,Unruh 2,4-Jul-16,Double tent,58,100,20.2,0.9,17,0,697,Female
2016,Unruh 2,4-Jul-16,Double tent,58,100,20.2,0.9,4,4,358.4,Male
2016,Unruh 3,4-Jul-16,Standard,2,NA,26,0.4,67,1,562.4,Female
2016,Unruh 3,4-Jul-16,Standard,2,NA,26,0.4,16,0,220.8,Male
2016,Unruh 3,4-Jul-16,Standard,51,NA,28.2,0.7,1,2,582.4,Female
2016,Unruh 3,4-Jul-16,Standard,51,NA,28.2,0.7,29,0,540,Male
2016,Unruh 4,17-Jul-16,Double tent and bees,4,120,23,0.3,35,2,274.4,Female
2016,Unruh 4,17-Jul-16,Double tent and bees,4,120,23,0.3,62,9,940.8,Male
2016,Unruh 4,17-Jul-16,Double tent and bees,55,190,24.4,0,1,9,396,Female
2016,Unruh 4,17-Jul-16,Double tent and bees,55,190,24.4,0,0,23,1101.6,Male
