Year,Field,Distance,Plant,VegMass,SeedMass,Branch,Pods,Missing,SeedCount,PodCount1,PodMass1,PodCount2,PodMass2,PodCount3,PodMass3,PodCount4,PodMass4,PodCount5,PodMass5
2014,10,5,2,4.8167,0.9833,2,33,33,NA,13,0.0388,13,0.0371,13,0.0332,12,0.0336,12,0.0314
2014,10,5,4,7.3844,3.3756,3,65,12,NA,30,0.1145,14,0.036,15,0.0413,7,0.0049,11,0.0278
2014,10,20,1,11.959,3.951,3,102,49,NA,23,0.0604,17,0.0484,2,0.0116,9,0.0379,4,0.0184
2014,10,20,2,6.6933,3.2967,2,59,45,NA,16,0.0459,15,0.038,9,0.028,14,0.0439,30,0.1001
2014,10,20,5,14.0177,6.0523,4,127,57,NA,7,0.0152,10,0.0265,27,0.075,28,0.1091,15,0.0532
2014,10,100,1,31.6707,15.7893,6,264,77,NA,28,0.0881,25,0.1163,26,0.0982,21,0.0711,31,0.157
2014,10,100,2,41.9772,19.4828,9,381,95,NA,31,0.0974,28,0.0812,27,0.0594,10,0.0268,27,0.0711
2014,10,100,4,14.0806,7.1894,4,109,49,NA,21,0.0865,31,0.1125,34,0.1333,25,0.0631,25,0.0963
2014,10,500,3,4.5865,1.5335,2,38,20,NA,28,0.052,29,0.0746,26,0.0631,27,0.0588,29,0.0781
2014,10,500,4,21.2502,8.7998,5,211,101,NA,26,0.0418,18,0.0286,18,0.0335,30,0.0721,32,0.0709
2014,10,500,5,10.5322,4.3978,4,125,70,NA,21,0.0541,14,0.0308,26,0.07,22,0.0388,23,0.0518
2014,11,5,1,35.2084,18.5216,4,288,86,NA,26,0.0747,21,0.0926,32,0.0964,27,0.0995,24,0.0596
2014,11,5,4,19.1568,9.7432,7,189,114,NA,27,0.0743,22,0.0484,8,0.0309,36,0.0888,28,0.0764
2014,11,5,5,27.7559,12.0041,6,273,75,NA,18,0.0383,29,0.0695,22,0.0805,12,0.0471,25,0.0916
2014,11,20,2,5.7174,1.7426,3,68,42,NA,12,0.0313,14,0.0351,12,0.0324,16,0.0485,23,0.0603
2014,11,20,3,20.9335,9.6665,7,190,74,NA,33,0.1049,33,0.0961,32,0.1088,31,0.0911,31,0.0845
2014,11,20,4,2.9595,0.3705,1,16,19,NA,20,0.0287,27,0.0472,15,0.0284,25,0.0457,9,0.014
2014,11,100,2,2.1842,0.9558,0,19,1,NA,27,0.0726,24,0.0725,29,0.0714,24,0.056,17,0.0454
2014,11,100,4,11.5812,4.9088,5,98,34,NA,29,0.0834,20,0.0794,15,0.0537,33,0.1131,28,0.0811
2014,11,100,5,12.6402,4.7798,5,102,28,NA,25,0.086,23,0.0554,12,0.0353,30,0.077,29,0.0772
2014,11,500,1,12.7901,5.1299,3,115,72,NA,11,0.052,11,0.0422,18,0.0574,16,0.0421,17,0.0484
2014,11,500,3,30.6029,13.4471,4,265,108,NA,26,0.123,21,0.0947,31,0.0999,24,0.0756,18,0.0556
2014,11,500,5,3.3353,1.4947,0,23,3,NA,25,0.091,29,0.1049,30,0.1025,8,0.0376,31,0.115
2014,5,5,1,3.7067,0.4133,2,37,8,NA,23,0.0174,13,0.0115,22,0.0178,23,0.0134,14,0.0214
2014,5,5,3,3.2654,0.9746,4,25,17,NA,36,0.0886,28,0.0474,32,0.0691,12,0.0425,11,0.0427
